"concentration_regime","hhi","hours_coordination","mkr_movilizado","n_lock_events","n_voters","participation_tier","spell_address","top1_share_pct","total_mkr","ts_lift","ts_propose","kappa_coord","whale_present","micro_spell","year","post_sky","log_kappa","log_mkr","log_hours"
"high_concentration",9729.17072989924,92.519167,36.4166703212777,3,2,"small","0x06557e555740aa8e7a928790d70c0b5aae39c0ea",98.6270024261173,36.4166703212777,2021-06-21 14:05:59,2021-06-17 17:34:50,3369.24000303824,0,0,2021,0,8.12273923832933,3.6221163356276,4.53816640993851
"moderate_concentration",6536.26373626374,48.009167,455,3,3,"medium","0xf1eef50fbc69c4aaeb98df2de50977364f1450d6",77.8021978021978,455,2021-07-03 17:15:44,2021-07-01 17:15:11,21844.170985,0,0,2021,0,9.99173516854648,6.12249280951439,3.89200736224569
"moderate_concentration",5099.11418342861,48.013611,34.44446406,3,3,"small","0xe0690da4935e814a2ed1b312bcb183347dbb9e79",62.2741580842585,34.44446406,2021-07-18 17:14:14,2021-07-16 17:13:25,1653.80309848032,0,0,2021,0,7.41143730700532,3.5679670788654,3.89209803504836
"high_concentration",8394.34762545217,48.003333,11.3594662071165,2,2,"small","0xfc2b52fc691aca396cf7b2945f598bdab0154fda",91.1967694452621,11.3594662071165,2021-07-25 21:56:22,2021-07-23 21:56:10,545.292239042459,0,0,2021,0,6.30315406889853,2.51442226397046,3.89188831620551
"high_concentration",10000,48.005833,8000,1,1,"medium","0x9d9897888ff7d8ce9a13da0218ce8fc1ddb8663f",100,8000,2021-08-06 15:45:03,2021-08-04 15:44:42,384046.664,0,0,2021,0,12.858521948867,8.98732181285012,3.89193933184216
"high_concentration",7945.43492458436,48.817778,101.201757804384,3,3,"medium","0xcbec4d230a6be1d90c318e009c7825e6fb3c23f4",88.7376622377064,101.201757804384,2021-08-27 17:02:30,2021-08-25 16:13:26,4940.44494570416,0,0,2021,0,8.50541306654283,4.62694887727319,3.90837190827738
"high_concentration",9987.88005591376,48.047778,34.8759642979772,3,2,"small","0x8ca44c4f3260e0cac9c221d94703a65bad33450f",99.9393635117317,34.8759642979772,2021-09-21 19:39:56,2021-09-19 19:37:04,1675.71259012513,0,0,2021,0,7.42459036378724,3.58006755310466,3.89279488427171
"high_concentration",9982.01835277035,48.0225,37033.326,5,2,"large","0xa7535f13444cde3bd9e5e5313bcad4683bdce8ce",99.9100107832605,37033.326,2021-10-28 17:44:42,2021-10-26 17:43:21,1778432.897835,0,0,2021,0,14.3912437023114,10.5196004912808,3.89227937639153
"high_concentration",10000,48.006389,100.033175167311,1,1,"medium","0x9f3f502788361633eca4b5b7bce3d1e70825334a",100,100.033175167311,2021-11-16 04:19:21,2021-11-14 04:18:58,4802.23151998709,0,0,2021,0,8.47704420370673,4.61544892991087,3.89195067736598
"high_concentration",9205.96113693963,48.020556,79.9656650692453,2,2,"small","0x254fc7f2ba97c5b7fb79c0907aceb46eaa1e6f81",95.8582660866044,79.9656650692453,2021-11-22 14:03:13,2021-11-20 14:01:59,3839.99569753494,0,0,2021,0,8.25348690820337,4.3940251767725,3.8922397203449
